

** [etri] Launch Training on 20230610_1522
{
  "HOST": "etri",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 5,
  "Flag": true,
  "p": 0.4,
  "acc_thresh": 0.5,
  "batch_size": 30,
  "lr_scheduling": true,
  "lr": 0.005408663768321276,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* Augmentation Reinforced\n  - Image Blur Feature Added \n  - Sub Comments Line2\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230611_0022 [EP 65/500] took: 0h:8m:17s, ETA: 2d:12h:3m:15s [TRAIN] loss: 0.0382, accu-50: 96.01%, iou: 92.66%, f1: 96.18% 810.92ms [EVAL] [138/138 step] loss: 0.1391, accu-50: 91.83%, iou: 75.74%, f1: 86.09%, 226.45ms
@20230611_0030 [EP 66/500] took: 0h:8m:17s, ETA: 2d:11h:54m:58s [TRAIN] loss: 0.0379, accu-50: 96.13%, iou: 92.70%, f1: 96.21% 810.91ms [EVAL] [138/138 step] loss: 0.0895, accu-50: 90.91%, iou: 83.66%, f1: 91.05%, 226.59ms
@20230611_0038 [EP 67/500] took: 0h:8m:17s, ETA: 2d:11h:46m:41s [TRAIN] loss: 0.0375, accu-50: 96.17%, iou: 92.79%, f1: 96.25% 810.92ms [EVAL] [138/138 step] loss: 0.4265, accu-50: 89.17%, iou: 40.80%, f1: 57.35%, 226.56ms
@20230611_0046 [EP 68/500] took: 0h:8m:16s, ETA: 2d:11h:31m:12s [TRAIN] loss: 0.0374, accu-50: 96.19%, iou: 92.80%, f1: 96.26% 810.59ms [EVAL] [138/138 step] loss: 0.1886, accu-50: 88.05%, iou: 68.49%, f1: 81.14%, 226.16ms
@20230611_0055 [EP 69/500] took: 0h:8m:16s, ETA: 2d:11h:22m:56s [TRAIN] loss: 0.0373, accu-50: 96.23%, iou: 92.82%, f1: 96.27% 810.51ms [EVAL] [138/138 step] loss: 0.0740, accu-50: 93.38%, iou: 86.25%, f1: 92.60%, 226.34ms
@20230611_0103 [EP 70/500] took: 0h:8m:16s, ETA: 2d:11h:14m:40s [TRAIN] loss: 0.0370, accu-50: 96.25%, iou: 92.88%, f1: 96.30% 810.60ms [EVAL] [138/138 step] loss: 0.1204, accu-50: 96.41%, iou: 78.59%, f1: 87.96%, 226.90ms
@20230611_0111 [EP 71/500] took: 0h:8m:16s, ETA: 2d:11h:6m:24s [TRAIN] loss: 0.0368, accu-50: 96.33%, iou: 92.90%, f1: 96.32% 810.81ms [EVAL] [138/138 step] loss: 0.3141, accu-50: 89.80%, iou: 52.65%, f1: 68.59%, 226.35ms
@20230611_0119 [EP 72/500] took: 0h:8m:16s, ETA: 2d:10h:58m:8s [TRAIN] loss: 0.0371, accu-50: 96.25%, iou: 92.85%, f1: 96.29% 810.85ms [EVAL] [138/138 step] loss: 0.3971, accu-50: 92.04%, iou: 43.65%, f1: 60.29%, 226.51ms
@20230611_0127 [EP 73/500] took: 0h:8m:16s, ETA: 2d:10h:49m:52s [TRAIN] loss: 0.0364, accu-50: 96.32%, iou: 92.99%, f1: 96.36% 810.40ms [EVAL] [138/138 step] loss: 0.0620, accu-50: 94.15%, iou: 88.33%, f1: 93.80%, 226.45ms
@20230611_0135 [EP 74/500] took: 0h:8m:16s, ETA: 2d:10h:41m:36s [TRAIN] loss: 0.0362, accu-50: 96.32%, iou: 93.03%, f1: 96.38% 810.59ms [EVAL] [138/138 step] loss: 0.0653, accu-50: 96.69%, iou: 87.75%, f1: 93.47%, 226.42ms
@20230611_0144 [EP 75/500] took: 0h:8m:16s, ETA: 2d:10h:33m:20s [TRAIN] loss: 0.0365, accu-50: 96.32%, iou: 92.96%, f1: 96.35% 810.83ms [EVAL] [138/138 step] loss: 0.0561, accu-50: 95.32%, iou: 89.39%, f1: 94.39%, 226.36ms
@20230611_0152 [EP 76/500] took: 0h:8m:16s, ETA: 2d:10h:25m:4s [TRAIN] loss: 0.0366, accu-50: 96.33%, iou: 92.95%, f1: 96.34% 810.80ms [EVAL] [138/138 step] loss: 0.5052, accu-50: 93.63%, iou: 33.46%, f1: 49.48%, 226.07ms
